state,college,division,conference,subdivision,public_private,hbcu
AL,Alabama A&M University,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
AL,Alabama State University,Division I,Southwestern Athletic Conference,I-FCS,Public,Yes
AL,Auburn University,Division I,Southeastern Conference,I-FBS,Public,No
AL,Auburn University at Montgomery,Division II,Gulf South Conference,II,Public,No
AL,Jacksonville State University,Division I,Conference USA,I-FCS,Public,No
AL,Miles College,Division II,Southern Intercollegiate Athletic Conference,II,Private,Yes
AL,Samford University,Division I,Southern Conference,I-FCS,Private,No
AL,Spring Hill College,Division II,Southern States Athletic Conference,II,Private,No
AL,Stillman College,Division II,Southern Intercollegiate Athletic Conference,II,Private,Yes
AL,Talladega College,Division II,Southern Intercollegiate Athletic Conference,II,Private,Yes
AL,Troy University,Division I,Sun Belt Conference,I-FBS,Public,No
AL,Tuskegee University,Division II,Southern Intercollegiate Athletic Conference,II,Private,Yes
AL,University of Alabama,Division I,Southeastern Conference,I-FBS,Public,No
AL,University of Alabama at Birmingham,Division I,American Athletic Conference,I-FBS,Public,No
AL,University of Alabama in Huntsville,Division II,Gulf South Conference,II,Public,No
AL,University of Montevallo,Division II,Gulf South Conference,II,Public,No
AL,University of North Alabama,Division II,ASUN Conference,II,Public,No
AL,University of South Alabama,Division I,Sun Belt Conference,I-FBS,Public,No
AL,University of West Alabama,Division II,Gulf South Conference,II,Public,No
